District,Crime_Type,Year,Total,Prev_Year_Total,YoY_Change,YoY_Pct
Deoria,Crimes Against SCs,2018,142,90,52,57.8
Deoria,Crimes Against SCs,2019,116,142,-26,-18.3
Deoria,Crimes Against SCs,2020,124,116,8,6.9
Deoria,Crimes Against SCs,2021,102,124,-22,-17.7
Deoria,Crimes Against SCs,2022,189,102,87,85.3
Deoria,Crimes Against SCs,2023,181,189,-8,-4.2
Deoria,Crimes Against STs,2016,0,3,-3,-100.0
Deoria,Crimes Against STs,2018,0,0,0,
Deoria,Crimes Against STs,2019,0,0,0,
Deoria,Crimes Against STs,2020,0,0,0,
Deoria,Crimes Against STs,2021,0,0,0,
Deoria,Crimes Against STs,2022,0,0,0,
Deoria,Crimes Against STs,2023,0,0,0,
Deoria,Crimes Against Women,2018,342,496,-154,-31.0
Deoria,Crimes Against Women,2019,239,342,-103,-30.1
Deoria,Crimes Against Women,2020,88,239,-151,-63.2
Deoria,Crimes Against Women,2021,78,88,-10,-11.4
Deoria,Crimes Against Women,2022,109,78,31,39.7
Deoria,Crimes Against Women,2023,108,109,-1,-0.9
Deoria,Cyber Crimes,2019,57,68,-11,-16.2
Deoria,Cyber Crimes,2020,72,57,15,26.3
Deoria,Cyber Crimes,2021,54,72,-18,-25.0
Deoria,Cyber Crimes,2022,65,54,11,20.4
Deoria,Cyber Crimes,2023,69,65,4,6.2
Deoria,IPC Crimes,2018,3024,2653,371,14.0
Deoria,IPC Crimes,2019,2797,3024,-227,-7.5
Deoria,IPC Crimes,2020,2427,2797,-370,-13.2
Deoria,IPC Crimes,2021,2466,2427,39,1.6
Deoria,IPC Crimes,2022,3628,2466,1162,47.1
Deoria,IPC Crimes,2023,5671,3628,2043,56.3
Deoria,Juvenile IPC,2019,0,0,0,
Deoria,Juvenile IPC,2020,0,0,0,
Deoria,Juvenile IPC,2021,0,0,0,
Deoria,Juvenile IPC,2022,0,0,0,
Deoria,Juvenile IPC,2023,0,0,0,
Deoria,Juvenile SLL,2019,0,0,0,
Deoria,Juvenile SLL,2020,0,0,0,
Deoria,Juvenile SLL,2021,0,0,0,
Deoria,Juvenile SLL,2022,0,0,0,
Deoria,Juvenile SLL,2023,0,0,0,
Deoria,Missing Persons,2019,0,0,0,
Deoria,Missing Persons,2020,0,0,0,
Deoria,Missing Persons,2021,0,0,0,
Deoria,Missing Persons,2022,4,0,4,inf
Deoria,Missing Persons,2023,7,4,3,75.0
Deoria,SLL Crimes,2018,2282,2032,250,12.3
Deoria,SLL Crimes,2019,2258,2282,-24,-1.1
Deoria,SLL Crimes,2020,2856,2258,598,26.5
Deoria,SLL Crimes,2021,2762,2856,-94,-3.3
Deoria,SLL Crimes,2022,4238,2762,1476,53.4
Deoria,SLL Crimes,2023,3285,4238,-953,-22.5
Etah,Crimes Against Children,2018,147,203,-56,-27.6
Etah,Crimes Against Children,2019,120,147,-27,-18.4
Etah,Crimes Against Children,2020,60,120,-60,-50.0
Etah,Crimes Against Children,2021,71,60,11,18.3
Etah,Crimes Against Children,2022,71,71,0,0.0
Etah,Crimes Against Children,2023,77,71,6,8.5
Etah,Crimes Against SCs,2018,120,53,67,126.4
Etah,Crimes Against SCs,2019,115,120,-5,-4.2
Etah,Crimes Against SCs,2020,168,115,53,46.1
Etah,Crimes Against SCs,2021,134,168,-34,-20.2
Etah,Crimes Against SCs,2022,147,134,13,9.7
Etah,Crimes Against SCs,2023,145,147,-2,-1.4
Etah,Crimes Against STs,2016,0,9,-9,-100.0
Etah,Crimes Against STs,2018,0,0,0,
Etah,Crimes Against STs,2019,0,0,0,
Etah,Crimes Against STs,2020,0,0,0,
Etah,Crimes Against STs,2021,0,0,0,
Etah,Crimes Against STs,2022,0,0,0,
Etah,Crimes Against STs,2023,0,0,0,
Etah,Crimes Against Women,2018,661,443,218,49.2
Etah,Crimes Against Women,2019,586,661,-75,-11.3
Etah,Crimes Against Women,2020,401,586,-185,-31.6
Etah,Crimes Against Women,2021,359,401,-42,-10.5
Etah,Crimes Against Women,2022,337,359,-22,-6.1
Etah,Crimes Against Women,2023,361,337,24,7.1
Etah,Cyber Crimes,2019,27,30,-3,-10.0
Etah,Cyber Crimes,2020,36,27,9,33.3
Etah,Cyber Crimes,2021,130,36,94,261.1
Etah,Cyber Crimes,2022,56,130,-74,-56.9
Etah,Cyber Crimes,2023,77,56,21,37.5
Etah,IPC Crimes,2018,3921,2882,1039,36.1
Etah,IPC Crimes,2019,4029,3921,108,2.8
Etah,IPC Crimes,2020,3864,4029,-165,-4.1
Etah,IPC Crimes,2021,4192,3864,328,8.5
Etah,IPC Crimes,2022,4437,4192,245,5.8
Etah,IPC Crimes,2023,4760,4437,323,7.3
Etah,Juvenile IPC,2019,0,0,0,
Etah,Juvenile IPC,2020,0,0,0,
Etah,Juvenile IPC,2021,0,0,0,
Etah,Juvenile IPC,2022,0,0,0,
Etah,Juvenile IPC,2023,0,0,0,
Etah,Juvenile SLL,2019,0,0,0,
Etah,Juvenile SLL,2020,0,0,0,
Etah,Juvenile SLL,2021,0,0,0,
Etah,Juvenile SLL,2022,0,0,0,
Etah,Juvenile SLL,2023,0,0,0,
Etah,Missing Persons,2019,0,0,0,
Etah,Missing Persons,2020,0,0,0,
Etah,Missing Persons,2021,73,0,73,inf
Etah,Missing Persons,2022,71,73,-2,-2.7
Etah,Missing Persons,2023,77,71,6,8.5
Etah,SLL Crimes,2018,2563,3437,-874,-25.4
Etah,SLL Crimes,2019,2573,2563,10,0.4
Etah,SLL Crimes,2020,2523,2573,-50,-1.9
Etah,SLL Crimes,2021,1762,2523,-761,-30.2
Etah,SLL Crimes,2022,5640,1762,3878,220.1
Etah,SLL Crimes,2023,988,5640,-4652,-82.5
Etawah,Assault,2015,1198,871,327,37.5
Etawah,Assault,2016,960,1198,-238,-19.9
Etawah,Assault,2017,1063,960,103,10.7
Etawah,Assault,2018,690,1063,-373,-35.1
Etawah,Assault,2019,392,690,-298,-43.2
Etawah,Assault,2020,981,392,589,150.3
Etawah,Assault,2021,949,981,-32,-3.3
Etawah,Assault,2022,291,949,-658,-69.3
Etawah,Assault,2023,630,291,339,116.5
Etawah,Burglary,2015,543,615,-72,-11.7
Etawah,Burglary,2016,346,543,-197,-36.3
Etawah,Burglary,2017,780,346,434,125.4
Etawah,Burglary,2018,943,780,163,20.9
Etawah,Burglary,2019,1023,943,80,8.5
Etawah,Burglary,2020,47,1023,-976,-95.4
Etawah,Burglary,2021,687,47,640,1361.7
Etawah,Burglary,2022,1146,687,459,66.8
Etawah,Burglary,2023,1022,1146,-124,-10.8
Etawah,Crimes Against Children,2018,209,158,51,32.3
Etawah,Crimes Against Children,2019,162,209,-47,-22.5
Etawah,Crimes Against Children,2020,82,162,-80,-49.4
Etawah,Crimes Against Children,2021,145,82,63,76.8
Etawah,Crimes Against Children,2022,124,145,-21,-14.5
Etawah,Crimes Against Children,2023,173,124,49,39.5
Etawah,Crimes Against SCs,2018,96,144,-48,-33.3
Etawah,Crimes Against SCs,2019,54,96,-42,-43.8
Etawah,Crimes Against SCs,2020,95,54,41,75.9
Etawah,Crimes Against SCs,2021,136,95,41,43.2
Etawah,Crimes Against SCs,2022,109,136,-27,-19.9
Etawah,Crimes Against SCs,2023,113,109,4,3.7
Etawah,Crimes Against STs,2016,0,5,-5,-100.0
Etawah,Crimes Against STs,2018,0,0,0,
Etawah,Crimes Against STs,2019,0,0,0,
Etawah,Crimes Against STs,2020,0,0,0,
Etawah,Crimes Against STs,2021,0,0,0,
Etawah,Crimes Against STs,2022,0,0,0,
Etawah,Crimes Against STs,2023,0,0,0,
Etawah,Crimes Against Women,2018,530,598,-68,-11.4
Etawah,Crimes Against Women,2019,314,530,-216,-40.8
Etawah,Crimes Against Women,2020,296,314,-18,-5.7
Etawah,Crimes Against Women,2021,413,296,117,39.5
Etawah,Crimes Against Women,2022,369,413,-44,-10.7
Etawah,Crimes Against Women,2023,439,369,70,19.0
Etawah,Cyber Crimes,2019,29,58,-29,-50.0
Etawah,Cyber Crimes,2020,42,29,13,44.8
Etawah,Cyber Crimes,2021,26,42,-16,-38.1
Etawah,Cyber Crimes,2022,27,26,1,3.8
Etawah,Cyber Crimes,2023,39,27,12,44.4
Etawah,Cybercrime,2015,404,198,206,104.0
Etawah,Cybercrime,2016,660,404,256,63.4
Etawah,Cybercrime,2017,1045,660,385,58.3
Etawah,Cybercrime,2018,88,1045,-957,-91.6
Etawah,Cybercrime,2019,203,88,115,130.7
Etawah,Cybercrime,2020,917,203,714,351.7
Etawah,Cybercrime,2021,594,917,-323,-35.2
Etawah,Cybercrime,2022,325,594,-269,-45.3
Etawah,Cybercrime,2023,503,325,178,54.8
Etawah,Dowry Deaths,2015,501,1116,-615,-55.1
Etawah,Dowry Deaths,2016,458,501,-43,-8.6
Etawah,Dowry Deaths,2017,941,458,483,105.5
Etawah,Dowry Deaths,2018,132,941,-809,-86.0
Etawah,Dowry Deaths,2019,600,132,468,354.5
Etawah,Dowry Deaths,2020,690,600,90,15.0
Etawah,Dowry Deaths,2021,794,690,104,15.1
Etawah,Dowry Deaths,2022,890,794,96,12.1
Etawah,Dowry Deaths,2023,422,890,-468,-52.6
Etawah,Fraud,2015,83,412,-329,-79.9
Etawah,Fraud,2016,1196,83,1113,1341.0
Etawah,Fraud,2017,550,1196,-646,-54.0
Etawah,Fraud,2018,1109,550,559,101.6
Etawah,Fraud,2019,769,1109,-340,-30.7
Etawah,Fraud,2020,424,769,-345,-44.9
Etawah,Fraud,2021,48,424,-376,-88.7
Etawah,Fraud,2022,562,48,514,1070.8
Etawah,Fraud,2023,372,562,-190,-33.8
Etawah,IPC Crimes,2018,3107,3620,-513,-14.2
Etawah,IPC Crimes,2019,2392,3107,-715,-23.0
Etawah,IPC Crimes,2020,3076,2392,684,28.6
Etawah,IPC Crimes,2021,3027,3076,-49,-1.6
Etawah,IPC Crimes,2022,3203,3027,176,5.8
Etawah,IPC Crimes,2023,2871,3203,-332,-10.4
Etawah,Juvenile IPC,2019,103,107,-4,-3.7
Etawah,Juvenile IPC,2020,0,103,-103,-100.0
Etawah,Juvenile IPC,2021,94,0,94,inf
Etawah,Juvenile IPC,2022,171,94,77,81.9
Etawah,Juvenile IPC,2023,29,171,-142,-83.0
Etawah,Juvenile SLL,2019,33,17,16,94.1
Etawah,Juvenile SLL,2020,0,33,-33,-100.0
Etawah,Juvenile SLL,2021,12,0,12,inf
Etawah,Juvenile SLL,2022,10,12,-2,-16.7
Etawah,Juvenile SLL,2023,0,10,-10,-100.0
Etawah,Kidnapping,2015,747,415,332,80.0
Etawah,Kidnapping,2016,199,747,-548,-73.4
Etawah,Kidnapping,2017,1190,199,991,498.0
Etawah,Kidnapping,2018,673,1190,-517,-43.4
Etawah,Kidnapping,2019,423,673,-250,-37.1
Etawah,Kidnapping,2020,201,423,-222,-52.5
Etawah,Kidnapping,2021,550,201,349,173.6
Etawah,Kidnapping,2022,208,550,-342,-62.2
Etawah,Kidnapping,2023,251,208,43,20.7
Etawah,Missing Persons,2019,0,0,0,
Etawah,Missing Persons,2020,0,0,0,
Etawah,Missing Persons,2021,147,0,147,inf
Etawah,Missing Persons,2022,212,147,65,44.2
Etawah,Missing Persons,2023,112,212,-100,-47.2
Etawah,Murder,2015,412,527,-115,-21.8
Etawah,Murder,2016,868,412,456,110.7
Etawah,Murder,2017,254,868,-614,-70.7
Etawah,Murder,2018,702,254,448,176.4
Etawah,Murder,2019,725,702,23,3.3
Etawah,Murder,2020,984,725,259,35.7
Etawah,Murder,2021,366,984,-618,-62.8
Etawah,Murder,2022,704,366,338,92.3
Etawah,Murder,2023,195,704,-509,-72.3
Etawah,Rape,2015,610,426,184,43.2
Etawah,Rape,2016,33,610,-577,-94.6
Etawah,Rape,2017,1108,33,1075,3257.6
Etawah,Rape,2018,1026,1108,-82,-7.4
Etawah,Rape,2019,1054,1026,28,2.7
Etawah,Rape,2020,1173,1054,119,11.3
Etawah,Rape,2021,60,1173,-1113,-94.9
Etawah,Rape,2022,1115,60,1055,1758.3
Etawah,Rape,2023,125,1115,-990,-88.8
Etawah,Robbery,2015,735,1018,-283,-27.8
Etawah,Robbery,2016,1162,735,427,58.1
Etawah,Robbery,2017,349,1162,-813,-70.0
Etawah,Robbery,2018,221,349,-128,-36.7
Etawah,Robbery,2019,227,221,6,2.7
Etawah,Robbery,2020,1134,227,907,399.6
Etawah,Robbery,2021,228,1134,-906,-79.9
Etawah,Robbery,2022,719,228,491,215.4
Etawah,Robbery,2023,1000,719,281,39.1
Etawah,SLL Crimes,2018,2162,2218,-56,-2.5
Etawah,SLL Crimes,2019,2978,2162,816,37.7
Etawah,SLL Crimes,2020,3226,2978,248,8.3
Etawah,SLL Crimes,2021,2270,3226,-956,-29.6
Etawah,SLL Crimes,2022,4828,2270,2558,112.7
Etawah,SLL Crimes,2023,4597,4828,-231,-4.8
Etawah,Theft,2015,723,880,-157,-17.8
Etawah,Theft,2016,461,723,-262,-36.2
Etawah,Theft,2017,492,461,31,6.7
Etawah,Theft,2018,1068,492,576,117.1
Etawah,Theft,2019,193,1068,-875,-81.9
Etawah,Theft,2020,1100,193,907,469.9
Etawah,Theft,2021,653,1100,-447,-40.6
Etawah,Theft,2022,915,653,262,40.1
Etawah,Theft,2023,424,915,-491,-53.7
Faizabad,Crimes Against STs,2016,0,0,0,
Fatehgarh,Crimes Against Children,2018,361,188,173,92.0
Fatehgarh,Crimes Against Children,2019,249,361,-112,-31.0
Fatehgarh,Crimes Against Children,2020,178,249,-71,-28.5
Fatehgarh,Crimes Against Children,2021,145,178,-33,-18.5
Fatehgarh,Crimes Against Children,2022,229,145,84,57.9
Fatehgarh,Crimes Against Children,2023,223,229,-6,-2.6
Fatehgarh,Crimes Against SCs,2018,74,108,-34,-31.5
Fatehgarh,Crimes Against SCs,2019,0,74,-74,-100.0
Fatehgarh,Crimes Against SCs,2020,88,0,88,inf
Fatehgarh,Crimes Against SCs,2021,100,88,12,13.6
Fatehgarh,Crimes Against SCs,2022,192,100,92,92.0
Fatehgarh,Crimes Against SCs,2023,39,192,-153,-79.7
Fatehgarh,Crimes Against STs,2016,0,0,0,
Fatehgarh,Crimes Against STs,2018,0,0,0,
Fatehgarh,Crimes Against STs,2019,79,0,79,inf
Fatehgarh,Crimes Against STs,2020,0,79,-79,-100.0
Fatehgarh,Crimes Against STs,2021,0,0,0,
Fatehgarh,Crimes Against STs,2022,0,0,0,
Fatehgarh,Crimes Against STs,2023,0,0,0,
Fatehgarh,Crimes Against Women,2018,791,676,115,17.0
Fatehgarh,Crimes Against Women,2019,472,791,-319,-40.3
Fatehgarh,Crimes Against Women,2020,366,472,-106,-22.5
Fatehgarh,Crimes Against Women,2021,417,366,51,13.9
Fatehgarh,Crimes Against Women,2022,503,417,86,20.6
Fatehgarh,Crimes Against Women,2023,582,503,79,15.7
Fatehgarh,Cyber Crimes,2019,37,43,-6,-14.0
Fatehgarh,Cyber Crimes,2020,43,37,6,16.2
Fatehgarh,Cyber Crimes,2021,0,43,-43,-100.0
Fatehgarh,Cyber Crimes,2022,113,0,113,inf
Fatehgarh,Cyber Crimes,2023,108,113,-5,-4.4
Fatehgarh,IPC Crimes,2018,2881,2621,260,9.9
Fatehgarh,IPC Crimes,2019,2364,2881,-517,-17.9
Fatehgarh,IPC Crimes,2020,2094,2364,-270,-11.4
Fatehgarh,IPC Crimes,2021,2952,2094,858,41.0
Fatehgarh,IPC Crimes,2022,3306,2952,354,12.0
Fatehgarh,IPC Crimes,2023,3309,3306,3,0.1
Fatehgarh,Juvenile IPC,2019,0,0,0,
Fatehgarh,Juvenile IPC,2020,0,0,0,
Fatehgarh,Juvenile IPC,2021,0,0,0,
Fatehgarh,Juvenile IPC,2022,60,0,60,inf
Fatehgarh,Juvenile IPC,2023,0,60,-60,-100.0
Fatehgarh,Juvenile SLL,2019,0,0,0,
Fatehgarh,Juvenile SLL,2020,0,0,0,
Fatehgarh,Juvenile SLL,2021,0,0,0,
Fatehgarh,Juvenile SLL,2022,31,0,31,inf
Fatehgarh,Juvenile SLL,2023,0,31,-31,-100.0
Fatehgarh,Missing Persons,2019,0,0,0,
Fatehgarh,Missing Persons,2020,0,0,0,
Fatehgarh,Missing Persons,2021,62,0,62,inf
Fatehgarh,Missing Persons,2022,0,62,-62,-100.0
Fatehgarh,Missing Persons,2023,0,0,0,
Fatehgarh,SLL Crimes,2018,2571,2864,-293,-10.2
Fatehgarh,SLL Crimes,2019,2584,2571,13,0.5
Fatehgarh,SLL Crimes,2020,34933,2584,32349,1251.9
Fatehgarh,SLL Crimes,2021,2522,34933,-32411,-92.8
Fatehgarh,SLL Crimes,2022,4864,2522,2342,92.9
Fatehgarh,SLL Crimes,2023,4435,4864,-429,-8.8
Fatehpur,Crimes Against Children,2018,334,264,70,26.5
Fatehpur,Crimes Against Children,2019,363,334,29,8.7
Fatehpur,Crimes Against Children,2020,270,363,-93,-25.6
Fatehpur,Crimes Against Children,2021,370,270,100,37.0
Fatehpur,Crimes Against Children,2022,330,370,-40,-10.8
Fatehpur,Crimes Against Children,2023,574,330,244,73.9
Fatehpur,Crimes Against SCs,2018,125,226,-101,-44.7
Fatehpur,Crimes Against SCs,2019,152,125,27,21.6
Fatehpur,Crimes Against SCs,2020,149,152,-3,-2.0
Fatehpur,Crimes Against SCs,2021,190,149,41,27.5
Fatehpur,Crimes Against SCs,2022,81,190,-109,-57.4
Fatehpur,Crimes Against SCs,2023,37,81,-44,-54.3
Fatehpur,Crimes Against STs,2016,0,36,-36,-100.0
Fatehpur,Crimes Against STs,2018,0,0,0,
Fatehpur,Crimes Against STs,2019,0,0,0,
Fatehpur,Crimes Against STs,2020,0,0,0,
Fatehpur,Crimes Against STs,2021,0,0,0,
Fatehpur,Crimes Against STs,2022,0,0,0,
Fatehpur,Crimes Against STs,2023,0,0,0,
Fatehpur,Crimes Against Women,2018,476,560,-84,-15.0
Fatehpur,Crimes Against Women,2019,490,476,14,2.9
Fatehpur,Crimes Against Women,2020,614,490,124,25.3
Fatehpur,Crimes Against Women,2021,571,614,-43,-7.0
Fatehpur,Crimes Against Women,2022,613,571,42,7.4
Fatehpur,Crimes Against Women,2023,717,613,104,17.0
Fatehpur,Cyber Crimes,2019,48,17,31,182.4
Fatehpur,Cyber Crimes,2020,35,48,-13,-27.1
Fatehpur,Cyber Crimes,2021,60,35,25,71.4
Fatehpur,Cyber Crimes,2022,71,60,11,18.3
Fatehpur,Cyber Crimes,2023,69,71,-2,-2.8
Fatehpur,IPC Crimes,2018,2913,3407,-494,-14.5
Fatehpur,IPC Crimes,2019,2943,2913,30,1.0
Fatehpur,IPC Crimes,2020,3543,2943,600,20.4
Fatehpur,IPC Crimes,2021,3406,3543,-137,-3.9
Fatehpur,IPC Crimes,2022,3801,3406,395,11.6
Fatehpur,IPC Crimes,2023,4439,3801,638,16.8
Fatehpur,Juvenile IPC,2019,35,39,-4,-10.3
Fatehpur,Juvenile IPC,2020,55,35,20,57.1
Fatehpur,Juvenile IPC,2021,40,55,-15,-27.3
Fatehpur,Juvenile IPC,2022,31,40,-9,-22.5
Fatehpur,Juvenile IPC,2023,117,31,86,277.4
Fatehpur,Juvenile SLL,2019,4,10,-6,-60.0
Fatehpur,Juvenile SLL,2020,7,4,3,75.0
Fatehpur,Juvenile SLL,2021,19,7,12,171.4
Fatehpur,Juvenile SLL,2022,44,19,25,131.6
Fatehpur,Juvenile SLL,2023,40,44,-4,-9.1
Fatehpur,Missing Persons,2019,0,0,0,
Fatehpur,Missing Persons,2020,0,0,0,
Fatehpur,Missing Persons,2021,259,0,259,inf
Fatehpur,Missing Persons,2022,265,259,6,2.3
Fatehpur,Missing Persons,2023,286,265,21,7.9
Fatehpur,SLL Crimes,2018,2796,2532,264,10.4
Fatehpur,SLL Crimes,2019,2621,2796,-175,-6.3
Fatehpur,SLL Crimes,2020,2932,2621,311,11.9
Fatehpur,SLL Crimes,2021,2536,2932,-396,-13.5
Fatehpur,SLL Crimes,2022,4089,2536,1553,61.2
Fatehpur,SLL Crimes,2023,3702,4089,-387,-9.5
Firozabad,Assault,2015,1073,410,663,161.7
Firozabad,Assault,2016,1034,1073,-39,-3.6
Firozabad,Assault,2017,724,1034,-310,-30.0
Firozabad,Assault,2018,1038,724,314,43.4
Firozabad,Assault,2019,876,1038,-162,-15.6
Firozabad,Assault,2020,175,876,-701,-80.0
Firozabad,Assault,2021,156,175,-19,-10.9
Firozabad,Assault,2022,314,156,158,101.3
Firozabad,Assault,2023,57,314,-257,-81.8
Firozabad,Burglary,2015,108,343,-235,-68.5
Firozabad,Burglary,2016,923,108,815,754.6
Firozabad,Burglary,2017,80,923,-843,-91.3
Firozabad,Burglary,2018,146,80,66,82.5
Firozabad,Burglary,2019,206,146,60,41.1
Firozabad,Burglary,2020,163,206,-43,-20.9
Firozabad,Burglary,2021,586,163,423,259.5
Firozabad,Burglary,2022,1064,586,478,81.6
Firozabad,Burglary,2023,690,1064,-374,-35.2
Firozabad,Crimes Against Children,2018,429,282,147,52.1
Firozabad,Crimes Against Children,2019,492,429,63,14.7
Firozabad,Crimes Against Children,2020,377,492,-115,-23.4
Firozabad,Crimes Against Children,2021,525,377,148,39.3
Firozabad,Crimes Against Children,2022,696,525,171,32.6
Firozabad,Crimes Against Children,2023,348,696,-348,-50.0
Firozabad,Crimes Against SCs,2018,158,158,0,0.0
Firozabad,Crimes Against SCs,2019,160,158,2,1.3
Firozabad,Crimes Against SCs,2020,144,160,-16,-10.0
Firozabad,Crimes Against SCs,2021,178,144,34,23.6
Firozabad,Crimes Against SCs,2022,278,178,100,56.2
Firozabad,Crimes Against SCs,2023,209,278,-69,-24.8
Firozabad,Crimes Against STs,2016,0,0,0,
Firozabad,Crimes Against STs,2018,0,0,0,
Firozabad,Crimes Against STs,2019,0,0,0,
Firozabad,Crimes Against STs,2020,0,0,0,
Firozabad,Crimes Against STs,2021,0,0,0,
Firozabad,Crimes Against STs,2022,0,0,0,
Firozabad,Crimes Against STs,2023,0,0,0,
Firozabad,Crimes Against Women,2018,768,688,80,11.6
Firozabad,Crimes Against Women,2019,1112,768,344,44.8
Firozabad,Crimes Against Women,2020,913,1112,-199,-17.9
Firozabad,Crimes Against Women,2021,1270,913,357,39.1
Firozabad,Crimes Against Women,2022,1823,1270,553,43.5
Firozabad,Crimes Against Women,2023,2177,1823,354,19.4
Firozabad,Cyber Crimes,2019,88,60,28,46.7
Firozabad,Cyber Crimes,2020,64,88,-24,-27.3
Firozabad,Cyber Crimes,2021,55,64,-9,-14.1
Firozabad,Cyber Crimes,2022,95,55,40,72.7
Firozabad,Cyber Crimes,2023,78,95,-17,-17.9
Firozabad,Cybercrime,2015,919,923,-4,-0.4
Firozabad,Cybercrime,2016,592,919,-327,-35.6
Firozabad,Cybercrime,2017,756,592,164,27.7
Firozabad,Cybercrime,2018,470,756,-286,-37.8
Firozabad,Cybercrime,2019,1169,470,699,148.7
Firozabad,Cybercrime,2020,506,1169,-663,-56.7
Firozabad,Cybercrime,2021,1133,506,627,123.9
Firozabad,Cybercrime,2022,382,1133,-751,-66.3
Firozabad,Cybercrime,2023,718,382,336,88.0
Firozabad,Dowry Deaths,2015,807,195,612,313.8
Firozabad,Dowry Deaths,2016,322,807,-485,-60.1
Firozabad,Dowry Deaths,2017,730,322,408,126.7
Firozabad,Dowry Deaths,2018,600,730,-130,-17.8
Firozabad,Dowry Deaths,2019,610,600,10,1.7
Firozabad,Dowry Deaths,2020,751,610,141,23.1
Firozabad,Dowry Deaths,2021,743,751,-8,-1.1
Firozabad,Dowry Deaths,2022,492,743,-251,-33.8
Firozabad,Dowry Deaths,2023,571,492,79,16.1
Firozabad,Fraud,2015,754,592,162,27.4
Firozabad,Fraud,2016,699,754,-55,-7.3
Firozabad,Fraud,2017,279,699,-420,-60.1
Firozabad,Fraud,2018,920,279,641,229.7
Firozabad,Fraud,2019,1129,920,209,22.7
Firozabad,Fraud,2020,433,1129,-696,-61.6
Firozabad,Fraud,2021,155,433,-278,-64.2
Firozabad,Fraud,2022,653,155,498,321.3
Firozabad,Fraud,2023,67,653,-586,-89.7
Firozabad,IPC Crimes,2018,4432,5173,-741,-14.3
Firozabad,IPC Crimes,2019,4557,4432,125,2.8
Firozabad,IPC Crimes,2020,5429,4557,872,19.1
Firozabad,IPC Crimes,2021,5720,5429,291,5.4
Firozabad,IPC Crimes,2022,8585,5720,2865,50.1
Firozabad,IPC Crimes,2023,9485,8585,900,10.5
Firozabad,Juvenile IPC,2019,26,18,8,44.4
Firozabad,Juvenile IPC,2020,22,26,-4,-15.4
Firozabad,Juvenile IPC,2021,53,22,31,140.9
Firozabad,Juvenile IPC,2022,48,53,-5,-9.4
Firozabad,Juvenile IPC,2023,0,48,-48,-100.0
Firozabad,Juvenile SLL,2019,2,3,-1,-33.3
Firozabad,Juvenile SLL,2020,2,2,0,0.0
Firozabad,Juvenile SLL,2021,3,2,1,50.0
Firozabad,Juvenile SLL,2022,2,3,-1,-33.3
Firozabad,Juvenile SLL,2023,0,2,-2,-100.0
Firozabad,Kidnapping,2015,162,948,-786,-82.9
Firozabad,Kidnapping,2016,111,162,-51,-31.5
Firozabad,Kidnapping,2017,227,111,116,104.5
Firozabad,Kidnapping,2018,1026,227,799,352.0
Firozabad,Kidnapping,2019,353,1026,-673,-65.6
Firozabad,Kidnapping,2020,208,353,-145,-41.1
Firozabad,Kidnapping,2021,944,208,736,353.8
Firozabad,Kidnapping,2022,932,944,-12,-1.3
Firozabad,Kidnapping,2023,36,932,-896,-96.1
Firozabad,Missing Persons,2019,0,0,0,
Firozabad,Missing Persons,2020,0,0,0,
Firozabad,Missing Persons,2021,78,0,78,inf
Firozabad,Missing Persons,2022,8,78,-70,-89.7
Firozabad,Missing Persons,2023,88,8,80,1000.0
Firozabad,Murder,2015,539,390,149,38.2
Firozabad,Murder,2016,60,539,-479,-88.9
Firozabad,Murder,2017,297,60,237,395.0
Firozabad,Murder,2018,573,297,276,92.9
Firozabad,Murder,2019,127,573,-446,-77.8
Firozabad,Murder,2020,1125,127,998,785.8
Firozabad,Murder,2021,315,1125,-810,-72.0
Firozabad,Murder,2022,688,315,373,118.4
Firozabad,Murder,2023,357,688,-331,-48.1
Firozabad,Rape,2015,409,481,-72,-15.0
Firozabad,Rape,2016,1064,409,655,160.1
Firozabad,Rape,2017,243,1064,-821,-77.2
Firozabad,Rape,2018,615,243,372,153.1
Firozabad,Rape,2019,122,615,-493,-80.2
Firozabad,Rape,2020,1193,122,1071,877.9
Firozabad,Rape,2021,894,1193,-299,-25.1
Firozabad,Rape,2022,1098,894,204,22.8
Firozabad,Rape,2023,174,1098,-924,-84.2
Firozabad,Robbery,2015,287,1193,-906,-75.9
Firozabad,Robbery,2016,718,287,431,150.2
Firozabad,Robbery,2017,475,718,-243,-33.8
Firozabad,Robbery,2018,786,475,311,65.5
Firozabad,Robbery,2019,130,786,-656,-83.5
Firozabad,Robbery,2020,841,130,711,546.9
Firozabad,Robbery,2021,696,841,-145,-17.2
Firozabad,Robbery,2022,766,696,70,10.1
Firozabad,Robbery,2023,1133,766,367,47.9
Firozabad,SLL Crimes,2018,4069,4120,-51,-1.2
Firozabad,SLL Crimes,2019,3706,4069,-363,-8.9
Firozabad,SLL Crimes,2020,2444,3706,-1262,-34.1
Firozabad,SLL Crimes,2021,2421,2444,-23,-0.9
Firozabad,SLL Crimes,2022,2432,2421,11,0.5
Firozabad,SLL Crimes,2023,6658,2432,4226,173.8
Firozabad,Theft,2015,764,983,-219,-22.3
Firozabad,Theft,2016,626,764,-138,-18.1
Firozabad,Theft,2017,754,626,128,20.4
Firozabad,Theft,2018,731,754,-23,-3.1
Firozabad,Theft,2019,595,731,-136,-18.6
Firozabad,Theft,2020,639,595,44,7.4
